PropertyClass,ZoningCategory,RoadAccessLength,LandArea,RoadType,PlotShape,LandElevation,UtilityAccess,PlotConfiguration,LandSlope,District,NearbyTransport1,NearbyTransport2,PropertyType,HotelStyle,RoofDesign,RoofMaterial,ExteriorPrimary,ExteriorSecondary,FacadeArea,ExteriorQuality,ExteriorCondition,FoundationType,BasementHeight,BasementCondition,BasementExposure,BasementFacilityType1,BasementFacilityType2,BasementUnfinishedSF,BasementTotalSF,HeatingType,HeatingQuality,CentralAC,ElectricalSystem,LowQualityArea,UsableArea,GuestRooms,Kitchens,KitchenQuality,TotalRooms,PropertyFunctionality,Lounges,ParkingType,ParkingConstructionYear,ParkingFinish,ParkingCapacity,ParkingQuality,ParkingCondition,DrivewayType,SwimmingPoolArea,ExtraFacilityValue,MonthSold,YearSold,DealType,DealCondition,HotelValue,TotalOutdoorArea,TotalSF,TotalBaths,OverallScore,Age,YearsSinceRemodel,Qual_x_GroundSF
50,RL,50.0,9638,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Shng,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,804,804,GasA,Ex,Y,SBrkr,0,2447,4,1,Gd,10,Min2,1,Detchd,1969.0,Unf,1,TA,TA,Y,0,0,3,2010,WD,Normal,169000.0,430,3213,2.0,6.5,91,20,10194
85,RL,80.0,8800,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,SFoyer,Gable,CompShg,MetalSd,MetalSd,156.0,TA,Gd,PConc,TA,TA,Gd,GLQ,Unf,173,936,GasA,Ex,Y,SBrkr,0,1054,3,1,Gd,6,Typ,0,Attchd,1963.0,RFn,2,TA,TA,Y,0,0,5,2010,WD,Abnorml,137500.0,120,1654,2.0,6.5,47,47,6324
20,RL,70.0,8402,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Feedr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,ALQ,Unf,914,1120,GasA,Ex,Y,SBrkr,0,1120,3,1,TA,6,Typ,0,None,,None,0,None,None,Y,0,0,12,2007,New,Partial,147000.0,30,1150,1.0,5.0,0,0,5600
20,RL,73.0,8688,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,228.0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,1616,1616,GasA,Ex,Y,SBrkr,0,1616,3,1,Gd,7,Typ,0,Attchd,2005.0,RFn,3,TA,TA,Y,0,0,4,2006,WD,Normal,232000.0,267,2717,2.0,6.0,1,1,11312
20,RL,79.0,10289,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,168.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,237,1073,GasA,TA,Y,SBrkr,0,1073,3,1,TA,6,Typ,0,Attchd,1965.0,RFn,2,TA,TA,Y,0,0,6,2007,WD,Normal,156000.0,0,1588,2.5,6.0,42,42,5365
20,RL,77.0,10010,Pave,Reg,Lvl,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,195,1389,GasA,Gd,Y,SBrkr,0,1389,2,1,TA,6,Typ,1,Attchd,1975.0,RFn,2,TA,TA,Y,0,0,4,2006,WD,Normal,170000.0,278,2085,2.0,5.0,32,31,6945
30,RL,70.0,12342,Pave,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,599,861,GasA,Ex,Y,SBrkr,0,861,1,1,TA,4,Typ,0,Detchd,1961.0,Unf,2,TA,TA,Y,0,0,3,2009,WD,Normal,82500.0,158,1558,1.0,4.5,69,59,3444
70,RL,60.0,7200,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,Gd,Gd,PConc,Gd,Gd,No,ALQ,BLQ,0,560,GasA,Ex,Y,SBrkr,0,1135,3,1,Gd,6,Typ,0,Detchd,1971.0,RFn,2,TA,TA,Y,0,0,4,2009,WD,Normal,155000.0,256,1967,2.0,8.0,73,2,4025
120,RL,39.0,5389,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,415,1595,GasA,Ex,Y,SBrkr,0,1616,2,1,Gd,5,Typ,1,Attchd,1995.0,RFn,2,TA,TA,Y,0,0,3,2010,WD,Normal,236500.0,389,2613,3.0,6.5,15,14,12928
20,RL,90.0,10768,Pave,IR1,Lvl,AllPub,Corner,Gtl,Veenker,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,0.0,Gd,Gd,CBlock,Gd,TA,Gd,ALQ,Unf,280,1437,GasA,TA,Y,SBrkr,0,1437,3,1,Gd,6,Typ,1,Attchd,1976.0,RFn,2,TA,TA,Y,0,0,7,2007,WD,Normal,218000.0,201,2166,3.0,6.5,31,3,7185
20,RL,75.0,9750,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,171.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1630,1630,GasA,Ex,Y,SBrkr,0,1630,3,1,Gd,6,Typ,1,Attchd,2000.0,Unf,2,TA,TA,Y,0,0,10,2009,WD,Normal,213000.0,308,2389,2.0,6.0,9,8,11410
20,RL,85.0,14331,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,630.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,526,1800,GasA,Ex,Y,SBrkr,0,1800,3,1,Gd,7,Typ,1,Attchd,2002.0,Fin,3,TA,TA,Y,0,0,5,2006,WD,Normal,312500.0,348,2913,3.0,6.5,4,4,14400
80,RL,80.0,9600,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,SLvl,Hip,CompShg,Plywood,Plywood,360.0,Gd,Gd,CBlock,TA,TA,No,Unf,Unf,528,528,GasA,Ex,Y,SBrkr,0,1855,3,1,TA,7,Typ,1,Attchd,1976.0,RFn,2,TA,TA,Y,0,0,8,2007,WD,Normal,187000.0,213,2580,2.5,6.5,31,13,6564
60,RL,76.0,10142,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,300,956,GasA,Ex,Y,SBrkr,0,2084,4,1,Gd,8,Typ,0,BuiltIn,2004.0,RFn,2,TA,TA,Y,0,0,1,2010,WD,Normal,233000.0,45,2747,3.5,6.0,6,6,6692
50,RL,60.0,9084,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,Fa,Mn,LwQ,Rec,0,616,GasA,TA,N,SBrkr,0,1111,3,1,TA,5,Typ,0,Detchd,1941.0,Unf,1,TA,Fa,Y,0,0,3,2008,ConLw,Normal,95000.0,48,1359,1.5,5.5,67,58,3080
30,RL,56.0,4130,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,CBlock,TA,TA,No,Unf,Unf,270,270,GasA,Gd,Y,SBrkr,0,729,2,1,TA,5,Maj2,0,None,,None,0,None,None,N,0,0,7,2008,WD,Normal,52000.0,0,729,1.0,4.5,73,5,2187
20,RL,48.0,17043,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,0.0,TA,Gd,CBlock,Gd,Fa,No,Unf,Unf,1362,1362,GasA,TA,Y,SBrkr,0,1586,3,1,TA,7,Typ,1,Attchd,1979.0,Unf,2,TA,TA,Y,0,0,1,2009,WD,Normal,181000.0,192,2213,2.0,5.5,30,11,9516
20,RL,63.0,17423,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,748.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,312,2216,GasA,Ex,Y,SBrkr,0,2234,1,1,Ex,9,Typ,1,Attchd,2009.0,Fin,3,TA,TA,Y,0,0,7,2009,New,Partial,501837.0,60,3460,3.0,7.0,1,0,20106
20,RL,70.0,8125,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,244,858,GasA,TA,Y,SBrkr,0,858,3,1,TA,5,Typ,0,None,,None,0,None,None,Y,0,0,6,2006,WD,Normal,88000.0,0,858,1.0,4.0,35,35,3432
20,RL,70.0,8780,Pave,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,Plywood,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,208,833,GasA,Ex,Y,SBrkr,0,833,3,1,TA,5,Typ,0,None,,None,0,None,None,Y,0,0,3,2009,WD,Normal,112000.0,0,833,2.0,5.0,24,24,4165
20,RL,70.0,7763,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,0.0,TA,Gd,CBlock,TA,TA,No,Rec,BLQ,319,931,GasA,TA,Y,SBrkr,0,1283,3,1,TA,6,Typ,0,Detchd,1980.0,Unf,2,TA,TA,Y,0,0,10,2008,WD,Normal,140000.0,0,1789,2.0,6.0,46,28,6415
20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,238.0,TA,TA,CBlock,TA,TA,No,GLQ,Unf,131,1416,GasA,TA,Y,SBrkr,0,1644,3,1,TA,7,Typ,2,Attchd,1953.0,Fin,2,TA,TA,Y,0,0,10,2009,WD,Normal,167000.0,110,2172,2.0,5.5,56,56,9864
20,RL,80.0,11600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,175.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,818,1383,GasA,TA,Y,SBrkr,0,1383,3,1,TA,7,Typ,0,Attchd,1960.0,RFn,1,TA,TA,Y,0,0,4,2006,WD,Normal,145250.0,45,1720,1.5,5.5,46,46,8298
20,RL,85.0,13175,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,119.0,TA,TA,CBlock,Gd,TA,No,ALQ,Rec,589,1542,GasA,TA,Y,SBrkr,0,2073,3,1,TA,7,Min1,2,Attchd,1978.0,Unf,2,TA,TA,Y,0,0,2,2010,WD,Normal,210000.0,349,2922,3.0,6.0,32,22,12438
70,RM,60.0,10440,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,650,650,GasA,Gd,Y,SBrkr,0,1539,3,1,Gd,8,Typ,1,Detchd,1983.0,Unf,2,Gd,TA,P,0,0,6,2008,WD,Normal,157500.0,216,2441,2.0,6.5,104,6,4790
20,RL,84.0,10084,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,196.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1528,1552,GasA,Ex,Y,SBrkr,0,1552,3,1,Gd,7,Typ,0,Attchd,2005.0,RFn,3,TA,TA,Y,0,0,7,2006,New,Partial,212900.0,164,2498,2.0,6.0,1,0,10864
20,RL,70.0,9100,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Rec,121,925,GasA,Ex,Y,SBrkr,0,925,2,1,TA,5,Typ,0,Detchd,1965.0,Unf,1,TA,TA,Y,0,0,7,2009,WD,Normal,117500.0,0,1354,1.5,5.5,44,44,4625
20,RL,65.0,8773,Pave,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,98.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1390,1414,GasA,Ex,Y,SBrkr,0,1414,3,1,Gd,6,Typ,0,Attchd,2004.0,RFn,2,TA,TA,Y,0,0,5,2010,WD,Normal,185500.0,237,2145,2.0,6.0,6,6,9898
50,C (all),105.0,8470,Pave,IR1,Lvl,AllPub,Corner,Gtl,IDOTRR,Feedr,Feedr,1Fam,1.5Fin,Hip,CompShg,Plywood,Plywood,0.0,Fa,Fa,CBlock,TA,Fa,No,Unf,Unf,1013,1013,GasA,TA,N,SBrkr,513,1526,2,1,Fa,6,Typ,0,None,,None,0,None,None,N,0,0,10,2009,ConLD,Abnorml,85000.0,156,1169,1.0,2.5,94,27,3039
90,RL,70.0,8393,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,Duplex,1Story,Gable,CompShg,MetalSd,MetalSd,122.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,1098,1626,GasA,Ex,Y,SBrkr,0,1712,4,2,TA,8,Typ,0,Attchd,2005.0,Fin,2,TA,TA,Y,0,0,6,2006,WD,Family,145000.0,326,2626,2.0,5.0,47,1,8560
20,RL,87.0,11146,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,250.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1709,1709,GasA,Ex,Y,SBrkr,0,1717,3,1,Gd,7,Typ,1,Attchd,2006.0,RFn,3,TA,TA,Y,0,0,7,2009,WD,Normal,255500.0,208,2833,2.0,6.5,3,3,13736
70,RM,50.0,9000,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,BrkTil,Fa,Fa,No,Unf,Unf,636,636,GasA,TA,Y,FuseA,0,1750,3,1,Ex,8,Typ,0,Detchd,1937.0,Unf,1,Fa,Po,N,0,0,6,2006,WD,Abnorml,124000.0,293,2283,1.0,5.5,126,15,5445
50,RM,50.0,6000,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,0.0,Gd,TA,BrkTil,TA,TA,No,Unf,Unf,698,698,GasA,TA,Y,SBrkr,0,1176,2,1,TA,4,Typ,0,Detchd,1999.0,Unf,2,TA,TA,N,0,0,7,2009,WD,Normal,134900.0,210,2010,1.0,7.5,72,9,4716
60,RL,106.0,11194,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,40.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1406,1406,GasA,Ex,Y,SBrkr,0,1936,3,1,Gd,7,Typ,1,Attchd,2000.0,RFn,2,TA,TA,Y,0,0,11,2006,WD,Normal,230500.0,312,2752,2.5,6.5,6,6,11632
20,RL,70.0,7340,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,536,858,GasA,TA,Y,SBrkr,0,858,2,1,TA,4,Typ,0,Detchd,1979.0,Unf,1,TA,TA,Y,0,0,6,2007,WD,Normal,110000.0,0,1542,1.0,5.0,36,36,3432
60,RL,120.0,15611,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,1079,1079,GasA,Ex,Y,SBrkr,0,1919,3,1,Gd,8,Typ,1,Attchd,2006.0,RFn,2,Gd,TA,Y,0,0,7,2006,New,Partial,233230.0,51,2655,2.5,6.5,0,0,8632
70,RM,60.0,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,Hip,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,Unf,596,596,GasA,Ex,Y,SBrkr,0,1762,4,1,Gd,8,Typ,0,Detchd,1989.0,Unf,2,TA,TA,N,0,0,10,2006,WD,Normal,157000.0,257,2595,2.5,7.0,86,56,6986
90,RL,74.0,13101,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,Gable,CompShg,HdBoard,HdBoard,108.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,1497,1728,GasA,TA,Y,SBrkr,0,1728,6,2,TA,10,Typ,0,Detchd,1987.0,Unf,2,TA,TA,Y,0,0,11,2008,WD,Normal,142600.0,0,2304,2.0,5.0,43,43,8640
160,RL,36.0,2448,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,Gable,CompShg,VinylSd,Wd Shng,106.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,191,764,GasA,Ex,Y,SBrkr,0,1626,2,1,Gd,6,Typ,0,BuiltIn,2003.0,RFn,2,TA,TA,Y,0,0,10,2008,WD,Normal,154000.0,27,2127,3.5,6.0,5,4,5348
60,RL,58.0,17104,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,Gd,Av,GLQ,Unf,100,654,GasA,Ex,Y,SBrkr,0,1496,3,1,Gd,7,Typ,1,Attchd,2006.0,RFn,2,TA,TA,Y,0,0,9,2006,New,Partial,179665.0,124,2046,3.5,6.0,0,0,4648
30,RL,52.0,6292,Pave,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,Gd,TA,Mn,Rec,Unf,384,768,GasA,TA,N,SBrkr,0,790,2,1,TA,4,Typ,0,Detchd,1925.0,Unf,1,Fa,TA,Y,0,0,4,2008,WD,Normal,91000.0,141,1091,1.0,5.5,78,58,4740
60,RL,70.0,12384,Pave,Reg,Lvl,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,2Story,Gable,CompShg,Plywood,Plywood,233.0,TA,TA,CBlock,Gd,TA,No,Unf,Unf,793,793,GasA,TA,Y,SBrkr,0,1935,3,1,TA,7,Typ,1,Attchd,1976.0,RFn,2,TA,TA,Y,0,0,11,2007,WD,Normal,197900.0,365,2850,2.5,7.0,31,31,7994
60,RL,80.0,10480,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,Hip,CompShg,Plywood,Plywood,660.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,400,803,GasA,TA,Y,SBrkr,0,1964,4,1,TA,8,Typ,1,Attchd,1976.0,RFn,2,TA,TA,Y,0,0,9,2008,WD,Normal,205000.0,69,2516,2.5,6.5,32,32,7686
70,RM,70.0,5100,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,Hip,CompShg,Stucco,Wd Shng,0.0,TA,Gd,PConc,TA,TA,No,Unf,Unf,588,588,GasA,Fa,Y,SBrkr,0,1666,3,1,Gd,7,Typ,1,Detchd,1925.0,Unf,1,TA,TA,Y,0,0,6,2008,WD,Normal,161000.0,255,2149,1.0,7.5,83,12,6664
80,RL,65.0,8385,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,SLvl,Gable,CompShg,HdBoard,HdBoard,220.0,Gd,TA,CBlock,Gd,Gd,Av,GLQ,Unf,390,985,GasA,TA,Y,SBrkr,0,985,3,1,TA,6,Typ,0,Attchd,1977.0,Unf,1,TA,TA,Y,0,0,11,2008,WD,Normal,149900.0,210,1523,2.0,6.5,31,31,4925
120,RM,59.0,8198,Pave,Reg,Lvl,AllPub,FR3,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,146.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,638,1358,GasA,Ex,Y,SBrkr,0,1358,2,1,Gd,6,Typ,1,Attchd,2004.0,RFn,2,TA,TA,Y,0,0,7,2008,WD,Normal,207000.0,222,2064,3.0,6.0,4,4,9506
120,RM,70.0,4426,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,169.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,186,848,GasA,Ex,Y,SBrkr,0,848,1,1,Gd,3,Typ,0,Attchd,2004.0,RFn,2,TA,TA,Y,0,0,5,2010,WD,Normal,143000.0,160,1428,2.0,5.5,6,6,5088
60,RL,86.0,11065,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,788.0,Gd,TA,PConc,Gd,TA,Mn,Unf,Unf,1085,1085,GasA,Ex,Y,SBrkr,0,1970,3,1,Ex,8,Typ,1,BuiltIn,2006.0,Fin,3,TA,TA,Y,0,0,10,2006,New,Partial,281000.0,251,2974,2.5,6.5,0,0,8960
20,RL,80.0,11844,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,464.0,Gd,TA,PConc,Ex,TA,Mn,Unf,Unf,2046,2046,GasA,Ex,Y,SBrkr,0,2046,3,1,Gd,7,Typ,1,Attchd,2008.0,Fin,3,TA,TA,Y,0,0,7,2009,New,Partial,372500.0,404,3284,2.5,6.5,1,1,16368
60,RL,70.0,10316,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,257,992,GasA,Ex,Y,SBrkr,0,1865,3,1,Gd,7,Typ,1,Attchd,2000.0,RFn,3,TA,TA,Y,0,0,6,2008,WD,Normal,235000.0,184,2888,3.5,6.0,8,8,6944
75,RL,70.0,11888,Pave,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,PosN,Norm,1Fam,2.5Unf,Gable,CompShg,Wd Sdng,Wd Shng,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,844,844,GasA,Gd,N,FuseA,0,2134,5,1,Gd,10,Typ,0,Detchd,1930.0,Unf,2,TA,TA,Y,0,0,7,2009,WD,Normal,214500.0,328,2903,2.0,6.0,93,15,8670
60,RL,90.0,9900,Pave,Reg,Low,AllPub,Inside,Mod,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,256.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,360,1347,GasA,Ex,Y,SBrkr,0,2646,4,1,Gd,9,Typ,1,Attchd,1993.0,RFn,3,TA,TA,Y,0,0,4,2009,WD,Normal,260000.0,544,3846,3.5,6.0,16,16,9604
20,RM,90.0,7407,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,GLQ,Unf,312,912,GasA,TA,Y,FuseA,0,1236,2,1,TA,6,Typ,0,Attchd,1957.0,Unf,2,TA,TA,Y,0,0,4,2010,WD,Normal,149700.0,316,2475,2.0,6.5,53,14,7416
20,RL,70.0,8885,Pave,IR1,Low,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,Gd,TA,Av,BLQ,ALQ,239,864,GasA,TA,Y,SBrkr,0,902,2,1,TA,5,Typ,0,Attchd,1983.0,Unf,2,TA,TA,Y,0,0,6,2006,WD,Normal,131000.0,164,1550,2.0,5.0,23,23,4510
20,RL,70.0,12968,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,Plywood,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,175,912,GasA,TA,Y,SBrkr,0,912,2,1,TA,4,Typ,0,Detchd,1962.0,Unf,1,TA,TA,Y,0,0,9,2008,WD,Normal,144000.0,316,1580,2.0,5.5,46,46,4560
90,RH,60.0,8400,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,1Story,Gable,CompShg,Plywood,Plywood,320.0,TA,TA,Slab,None,None,None,None,None,0,0,GasA,TA,Y,SBrkr,0,2020,4,2,TA,10,Typ,2,Detchd,1977.0,Unf,2,TA,TA,Y,0,0,10,2007,WD,Normal,144000.0,0,2650,2.0,5.0,30,30,10100
80,RL,80.0,8816,Pave,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,SLvl,Gable,CompShg,HdBoard,HdBoard,80.0,TA,TA,CBlock,TA,TA,Av,GLQ,Unf,506,1010,GasA,Gd,Y,SBrkr,0,1052,3,1,TA,6,Typ,0,Attchd,1971.0,Unf,2,TA,TA,Y,0,0,6,2010,WD,Normal,155000.0,0,1492,2.0,6.5,39,39,6312
60,RL,65.0,12257,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,513.0,Gd,TA,PConc,Gd,TA,Av,LwQ,ALQ,1198,1318,GasA,Ex,Y,SBrkr,0,2531,4,1,Gd,9,Typ,1,Attchd,1995.0,RFn,3,TA,TA,Y,0,0,11,2007,WD,Normal,290000.0,320,3603,2.5,6.5,12,12,10624
60,RL,73.0,9066,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,320.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,336,1004,GasA,Ex,Y,SBrkr,0,1852,3,1,Gd,7,Typ,2,Attchd,1999.0,Fin,3,TA,TA,Y,0,0,12,2008,WD,Normal,230000.0,330,2842,2.5,6.5,9,8,8032
20,RL,85.0,10182,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,RRNn,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,420.0,Gd,TA,PConc,Ex,TA,Mn,GLQ,Unf,440,1660,GasA,Ex,Y,SBrkr,0,1660,3,1,Gd,8,Typ,1,Attchd,2006.0,RFn,2,TA,TA,Y,0,0,5,2006,New,Partial,290000.0,372,2532,3.0,6.5,0,0,13280
